"Gene","FPM (WT)","FPM (STAT3KO)","FPM (ob/ob)","Enrichment (WT)","P (WT)","Enrichment (STAT3KO)","P (STAT3KO)","Enrichment (ob/ob)","P (ob/ob)"
"Agrp",128.483447872035,463.498741207873,651.798341263551,5.96963723164161,5.27200923508111e-86,6.21321402560696,7.39561172211538e-102,5.47199067083977,2.32311245858924e-52
"Prlh",7.64565802006897,12.9508042978549,8.37505573557233,5.28702895009352,9.11342008141939e-27,5.1103199184198,3.55537092445935e-33,5.3053435288429,1.09647447775939e-14
"Npy",483.064602581376,1540.95844723015,1883.4240187321,4.73224757459711,5.09267653882157e-78,5.70227745824945,1.7304772566581e-114,5.10394671420385,3.51201673767732e-60
"Pomc",516.907709901881,127.137763628267,82.7804319047108,5.37156964248757,1.32815661913977e-163,4.16383189347192,7.15463601295447e-95,3.6009680921961,3.23903933492662e-44
"Il2rg",0.482698327604409,0.561123044843503,0.822836867960876,3.71154247840397,0.00180351204952697,4.95058234589886,0.000504579460598184,4.31596701287913,0.0138706167373096
"Npw",0.945544016494359,0.72971920163639,0.846722083095284,5.07454272455624,1.80804337963922e-06,2.76301944866634,0.00010667576019119,3.73535096820931,0.00369170548399611
"Ghrh",24.7793483007834,25.5101059333754,68.3058031467566,3.55671436877686,6.49798875216425e-41,3.55444977719971,1.4914078060852e-41,4.15481024672816,3.25840671803972e-38
"Gsx1",17.6017876879017,15.7957251716859,14.3529840667917,3.80462618235344,4.83790451545968e-41,3.77474536943655,2.63845193788828e-40,3.31330102537737,1.31562200001756e-18
"Anxa10",0.537102169152822,0.26665261485859,0.476773694385501,2.47201644721635,0.0079855404260899,5.68122594507455,0.00024438657683612,2.17752383108598,0.146917356114856
"Bpifb2",0.213609974630057,0.240712211227063,0.367559867196343,3.4875911202954,0.0236092520694888,2.71083951777415,0.0394580767534649,4.0850338102396,0.0826308737058233
"Krt90",26.3673010003323,33.6262783020645,24.5723748581275,3.79602655189532,4.41904534585499e-65,3.35400183748727,3.21660917178135e-57,3.04679575707175,2.08625368531211e-27
"Tbx19",5.92731830711052,6.17242212833875,3.54422998872418,3.76748135318517,6.8602531818171e-29,3.61258613730101,3.19161951050566e-29,2.80758809304647,8.72371973761003e-09
"Tgtp1",0.100835445194395,3.06849842326307,0.0791786088286145,0.848793422976129,0.577023843978401,5.76723569994573,4.40743468503746e-10,3.38783857976455,0.194219118794953
"Oas1f",0.0454528233970837,0.134071771329013,0.106138825576091,3.02211625808244,0.236889760204028,4.6881298606968,0.0391508792615926,2.27035032393308,0.60858465723774
"Svs2",0,0.574490249165588,1.80403095357898,0,1,4.97867570076912,0.000319511857371155,4.86916829465154,0.000757160576395418
"Mbnl3",3.48124500075762,2.42796272219714,2.78316559889821,3.06541920141726,2.52124267283054e-08,2.89450937962021,3.82986925719866e-07,3.85262752213394,1.38520627603748e-05
"Cd96",0.391285725210264,0.459616680685185,0.227295260332453,3.80296104851202,0.00332713672505884,3.6066281531623,0.00228886269982078,2.38286061261219,0.258647976557837
"Apol10b",0.17321780698007,2.07012126631527,0.163134260684111,1.5663494072434,0.183421280815225,6.21614919142882,4.8599381980045e-08,1.95803031633206,0.371179513837337
"Cited1",130.645113739579,182.67227793721,180.807448829777,3.38229949527125,5.27200923508111e-86,3.39581328544771,7.01260139583142e-89,2.88244123811629,1.61465928084343e-41
"Ucn",8.26912780965757,2.09399622612414,5.82736652286109,4.08208888763475,8.25297721722825e-06,2.37159927195866,0.0165199578155104,3.05590234694757,0.0203075446173958
"Zp1",0.131585084085104,0.262101699964449,0.212277651152181,3.61828251970241,0.039212867453759,2.51590895712102,0.0488729931461385,3.32296542120372,0.197845011518622
"Serpina3i",1.51759199314194,1.97291247183357,0.468921649745552,4.31260481190832,7.13556934354441e-10,3.40457415753442,4.2995570571089e-10,1.45962931973767,0.179993890599023
"Pnliprp1",0.168252907779957,0.151117754036761,0.31363943370139,2.86511598727523,0.137084415339787,2.41398903016922,0.211550444778625,3.84943793068765,0.19574704134387
"Cd2",0.182037937633359,0.234684535550309,0.0887326948823779,2.39710540564037,0.194334870253433,5.49280729718639,0.00536684904157481,0.952110427072436,0.865567346439994
"Alkal2",1.75308510710656,5.99700011707266,9.07747928421749,1.99081956715263,1.11234989139849e-05,3.48316220117022,9.63348263259965e-18,3.36715509650402,1.3244854590942e-10
"Nags",0.782667206967511,0.943922015403157,0.88153434448271,3.00828164493089,1.82354392483235e-05,2.78954890424633,1.20282677055936e-05,3.04317322707204,0.0041414500518904
"Nr5a1",42.8275325838694,37.1094810017257,57.5252123396128,3.4153205191516,7.08390091916854e-57,2.67760182663537,1.61137546013796e-36,2.58735142779952,6.44334916537403e-22
"Nr5a2",7.80217265248674,9.6699476672476,6.63763093849615,2.96683677867834,3.38304231656047e-25,2.80429117902769,4.42026015163201e-25,2.71380142328114,1.31046989899024e-11
"Asb4",232.459349987192,182.620513235746,125.361991296773,3.34288523457326,4.95716790093895e-59,2.75583207051374,2.38474209060631e-40,2.35632059771518,2.02267228588667e-18
"Tbx3",41.3504338713648,37.7813503776693,30.9427638329918,3.40623784035372,3.47366246578316e-59,2.81089248138926,4.4571681188546e-42,2.22411360810516,4.1402567507371e-16
"Tgtp2",0.152659741485671,3.75184873224913,0.0197946522071536,0.541088114360363,0.862026885130611,6.44506482005343,0.000232227415679879,1.40273355257782,0.852163581101652
"Zar1",8.16792611721737,8.97543351995316,14.2250194663801,2.96668864965445,7.36067566102646e-28,2.76633742769633,1.49281555532191e-26,2.62525460032924,1.10652915353427e-15
"Klf14",1.89054166657188,2.5570116670291,2.03473029673906,2.94487287466402,4.51614349471034e-09,2.74288523162234,2.20156159313375e-09,2.53772304977814,0.000284507335960293
"Gkn1",0.0600320784914137,0.144428786018582,0.293844781494237,1.74116810397283,0.461959547951597,1.09061673286231,0.61272566962764,5.22589465287152,0.0615749041638415
"En1",36.8165144199588,37.4721045312293,34.9772988944005,3.08829859322974,6.646676396501e-21,2.93616351447172,3.79617460137433e-19,1.98621402920662,1.2946516043066e-05
"Slc6a3",321.283634977182,219.886240316799,236.018413345413,3.16717153046614,2.16865452096646e-16,2.74045646038515,2.19756540729169e-12,2.06974326033975,0.000130461401167517
"Gm20661",0.142056969036367,0.357280681068855,0.0197946522071536,3.72989182684522,0.0422413339580594,4.25242747189198,0.00823534385420459,-0.0171836702765723,1
"Fam159b",7.94832381154769,12.5190237730966,6.32978410913583,2.55910958402492,7.63574863491899e-21,3.39059747454511,7.13045365231858e-37,2.01249016496229,1.6389212921625e-07
"Srd5a2",0.145877069538484,0.274403525930377,0.293844781494237,1.72076645097758,0.266305424777773,3.96441867301849,0.0157864490496941,2.22212219399762,0.316776910956724
"Gdf3",0.267915381411294,0.0604506220785789,0.0221831737205945,4.6601710813309,0.0359822446825392,1.79115547744683,0.524882948771698,1.43833750894108,0.8486188165673
"Fam83g",1.45908078145046,1.26694968435165,1.71700030011042,2.81729340982242,7.88625385549194e-06,2.83110640039275,1.14812430026655e-05,2.13613750521189,0.0134777915474381
"Gch1",43.638966530556,36.5258478565426,27.823032511231,3.24433341246914,6.67359005358415e-48,2.59370356114387,1.45382034668929e-31,1.92858868905085,1.27892066596612e-10
"Nr0b1",4.8298454705553,3.78785030430224,2.72309516217712,3.05889477525291,8.6990400245712e-18,2.66080388696534,7.60473934348185e-14,1.9685590690667,0.00020795708488129
"Irx6",6.6381425606232,6.32032019698659,4.70936854854774,3.05828415851288,5.22412897791877e-30,2.8181772178868,2.14403873115725e-27,1.73239258093227,2.58508280880326e-06
"Cartpt",513.115202681924,174.553960711664,197.676108528808,3.60334566595742,1.01947543977095e-32,2.12372204940344,1.31068173806588e-11,1.88020285706958,1.0814440530633e-05
"Serpina3n",162.373019968079,81.5312686774814,39.1954034442905,3.80906822091762,4.12898541567671e-56,2.69082987953405,4.83140117641804e-28,1.09961137159064,0.00244195232719103
"Cd36",13.3900186882589,12.1313424109295,8.44778357763076,2.48862538984584,2.76499324256251e-25,2.70812003303447,4.62089187592214e-29,2.32093104417592,1.95033463354129e-11
"Th",400.836043804863,415.773690967859,451.573841542637,2.83716303525163,9.11342008141939e-27,2.59374043403276,1.54695379466218e-22,2.07232515103176,5.35241530361989e-09
"Bpifb3",0.173759893531106,0.141836849417622,0.316027955214831,2.09013689049452,0.124943116656312,3.81115837758075,0.0285511635333673,1.57992239494847,0.422655027881298
"Fam159a",3.02827042683866,5.87967376946099,6.93455072160345,2.41649478950468,1.82725161452389e-09,2.75924670374757,9.7214050799164e-14,2.2669052739218,6.45682910165739e-06
"Ddc",393.941332641388,436.060857171502,385.194666110587,2.74874930196825,7.36067566102646e-28,2.56806355635161,1.68809560813993e-24,2.02289409787077,1.67003043278889e-09
"Nup62cl",7.70525272382037,6.29068298684341,5.5738541612218,2.88790703916577,1.35388755090732e-17,2.3173615545769,5.43059767024109e-12,2.09743808202438,1.21628220510173e-05
"Serpina3f",0.412675825116842,13.982704739064,0.469608129845179,1.2402818852958,0.0862205572566816,5.37395379349595,6.1730316542464e-26,0.613360499288647,0.670242013715376
"Chrna6",45.7248361370716,33.4921374698686,33.5838211952598,2.82685421109099,1.38633312353691e-17,2.51979220826999,5.24321526404466e-14,1.8737528525828,5.04062520708953e-05
"Gucy2c",10.1497021082193,10.3506550068919,6.91129535122766,2.72327205846934,4.13869534601361e-15,2.63237058659897,2.21958342455424e-14,1.79941360001749,0.000281068216746648
"Ifi47",0.738273062027631,36.3290704833007,0.249478434053048,1.07856109329991,0.173897431577412,5.55101366788628,5.44793486062452e-20,0.458195786930643,0.87123748360768
"Abcb1a",10.1843578383143,10.3139234364463,4.16980681471315,2.96616355240618,0.000167160975142952,2.79868212623538,0.000449999861389141,1.3221726710024,0.331855995937864
"Fgf20",1.77465246341404,1.10609714221883,1.44226369072371,2.85652118246228,2.08303875360573e-08,2.67734329077175,1.56544093885041e-06,1.53368468675101,0.0343534315779262
"Gm5640",0.110354044541628,0.0947783303922228,0.0419778259277481,4.32304498151197,0.0358154108806382,1.77229478739569,0.415735778464137,0.944739187792062,0.901578859271365
"Tnfsf15",0.13604302768524,0.157627647224082,0.148116651503839,3.70787387908907,0.0667084855022281,0.535804508652219,0.832733055580576,2.76535306163131,0.406013479226082
"Defb25",0.264445854366246,0.185913512844149,0.0815671303420554,1.19387671506675,0.437417003224271,2.40728068670755,0.13460295909324,3.393607618232,0.26437990579681
"Foxa1",29.7615596256185,29.789933061122,26.788632789888,2.76238091940385,4.38548484575347e-42,2.32066586462011,4.91447235423878e-31,1.86669297344866,3.96288753171461e-12
"H2-Q4",1.24500594025748,12.5813828375249,1.21496843039125,1.92515418499749,9.27662492717325e-05,3.98121461402517,4.01083222543516e-24,0.963113999010995,0.217125519756074
"Pitx3",4.88113497890261,3.63394184962238,5.10863735784793,2.79806200040502,2.18462281112105e-07,2.23133829820789,4.80857215684668e-05,1.83571009821183,0.0164747213505863
"Ctla2a",0.650192141094496,1.27746774574609,3.4739189858497,2.19520884764774,0.00088294295807315,2.00705281867281,0.00030149162877952,2.5507526784987,0.000305141314114802
"AI467606",10.8999752206052,9.73913301195575,10.8012594323127,2.2967020938795,8.48587846490552e-22,2.3556097931708,1.21404138215316e-22,2.0578730280956,1.82544259682812e-10
"Rrad",18.8753262142438,16.8337875759177,30.0651325585743,2.41990603335748,1.02603962827427e-12,2.10306198414171,7.63708041719172e-10,2.16976791707384,1.72177449759921e-06
"Aldh1a7",7.32444584164737,6.01103799703979,5.55743527417177,2.47290865785836,1.25238778734064e-10,2.06890504680831,9.74340646012069e-08,2.14653636836856,9.39016276986472e-05
"Otp",154.465688498099,187.163275005804,205.033675561317,2.33121770084721,4.76008504862627e-45,2.21028673365754,5.27903417251055e-41,2.10208834854835,1.45316067265842e-23
"Vmn2r86",0.0810716049409232,0.178330944888949,0.0197946522071536,1.1030769393681,0.614657458120527,4.12984352486186,0.0381816500694837,1.40564312065078,0.828999733246743
"Apol9b",0.0770599913448396,2.05061992078695,0.0617724781349017,1.38699021097202,0.36653234408053,4.66889562209186,4.20005806093736e-09,0.557129829843179,0.914428193139007
"Gm525",0.10812507274156,0.135809173740868,0.247089912539607,1.91803086783524,0.258180374455717,3.73819042742315,0.040402688947875,0.952713289893973,0.733587985139775
"Cdc20b",1.7250034714129,1.21709525516334,1.28151795155304,2.27460983264563,3.68491567015571e-05,1.99848522534538,0.000516110152913694,2.31247894674194,0.00797961395696133
"Irs4",390.826815988677,319.373191870167,221.266419203179,2.56309786384223,1.29806200218587e-32,2.18881719073386,5.87727805855301e-24,1.80734404084055,3.7937888844714e-10
"Trim55",0.0276913108986556,0.430944331369756,0.2075006081253,0.296992409332765,0.949707672400275,3.95652460720665,0.00663868740462047,2.28719609283519,0.361084205871378
"Mc3r",18.4461510971963,14.2841404072558,12.154790428154,2.48630953749809,4.83303311588558e-30,2.28688255709587,2.96088022417673e-25,1.75634637418376,7.56998037963218e-09
"H2-Q2",38.3280620161968,36.9885736542943,36.5592539825705,2.37944902707522,1.00851742346812e-40,2.13763447578692,1.45448910435827e-33,2.00612604279042,4.85738833000318e-18
"Yeats2",259.761602359597,199.050281152129,122.574292783051,2.5263597998607,4.03649360653468e-43,2.31620701863812,2.44535918518219e-36,1.6763638719689,1.16777513263437e-11
"Calcr",65.4837532768672,54.8140566734121,43.4153408931154,2.30712888612664,2.34022125160349e-25,2.22300591041129,1.32114010686494e-23,1.98864642132988,1.95033463354129e-11
"Fcmr",0.235478857271552,0.115935511534012,0.274050129287083,5.43250276980064,0.0009007932293814,-0.23991013784305,0.928670533444402,1.31018192438492,0.54706168964963
"Tm4sf4",0.490600303604725,0.524439142827046,0.696903390177632,2.61278268197899,0.0108010942810274,2.14978752484526,0.030345486404487,1.7296349836836,0.246649317532328
"Gpc4",24.8597908333404,20.8124368651583,20.4629958790205,2.43654801349677,1.46424127211969e-24,2.12573619790784,6.73047378163409e-19,1.89913623678611,3.86500216488789e-09
"H2-Q6",1.05630230200298,26.9263967194813,0.36039430265602,1.77411703125349,8.76454198222383e-05,4.76987168400664,1.35992486913017e-51,-0.112871699996788,0.972285493145425
"Nkx2-4",9.77210205749178,12.0747624606736,11.0050268763958,2.26499815563083,1.65541050257605e-23,2.28779902891255,1.00091842342169e-25,1.78455394092598,2.69602193043847e-09
