"Gene","Enrichment (WT)","FPM (WT)","ob/ob vs. Control","P (ob-ctrl)","STAT3KO vs. Control","P (ko-ctrl)","STAT3KO vs. ob/ob","P (ko-ob)","Group"
"Adrb2",-0.220908284042827,0.769739706171155,0.986380510832304,0.206533238963266,1.66714359390322,0.000321906934241554,-0.680763083070918,0.628760380160405,"I"
"Agrp",5.96963723164161,128.483447872035,2.34288174519298,3.75306357268778e-11,1.85096356316839,1.601826547632e-09,0.491918182024587,0.652865945202383,"I"
"Alkal2",1.99081956715263,1.75308510710656,2.39594335434544,1.77250719460049e-07,1.79714777462274,8.98162074488904e-06,0.5987955797227,0.648534967104839,"I"
"Apoa1",0.0133330134517927,0.684567689173161,1.7390213941608,0.014290566753192,0.891000101366719,0.371315807690879,0.848021292794077,0.563902823192352,"I"
"Btg3",1.00440494559622,1.12752132853179,0.603086167232204,0.503160009909489,1.30023502895099,0.012101888849373,-0.697148861718782,0.628649788175919,"I"
"Ccl17",0.845647259135493,0.699462386773503,2.7342260080943,1.33183601581862e-07,2.15812138859387,2.16521467092376e-06,0.576104619500427,0.724211490577971,"I"
"Cdhr3",0.394558417106956,1.8377455481177,1.17373081473589,0.00758559045998974,0.919212999350111,0.0184530199342381,0.254517815385777,0.913894417913316,"I"
"Ctla2a",2.19520884764774,0.650192141094496,2.40884598252601,0.000123683583013646,0.963910161985756,0.319234199107332,1.44493582054026,0.0483642135841939,"I"
"F830016B08Rik",-3.94932064055077,0,1.79099317806794,0.714722358329626,6.66219365663379,0.000136788378775586,-4.87120047856586,0.0763122337241904,"I"
"Fam159a",2.41649478950468,3.02827042683866,1.19938598247787,0.022835170492048,0.957257141412601,0.0458191669404911,0.242128841065267,0.932405627841837,"I"
"Fyb2",-0.321243129816476,0.43966598910136,2.83078564842047,1.26610504033978e-06,1.75790131630996,0.00252653057822244,1.07288433211051,0.221818091913819,"I"
"Gdpd3",0.276868172119488,4.55309142193184,1.26927760955721,4.38812956733487e-05,0.950731068665498,0.000605224679667948,0.318546540891709,0.770260218748003,"I"
"Gm4951",-2.24934921969868,0.0510555656952164,0.959546999410185,0.662199754155059,7.6761595718454,1.40555143559851e-25,-6.71661257243522,7.65621264175892e-19,"I"
"Isg20",-1.05241452488072,0.316132305073484,1.98403189356756,0.0038435467540616,2.53474196773072,3.9805363481046e-07,-0.550710074163157,0.782029431974518,"I"
"Lyve1",-0.7616191702265,0.275041668729553,3.13355034828168,0.000184425136375889,1.34221651242514,0.277752560655078,1.79133383585654,0.0687130434282777,"I"
"Maff",0.607100195654721,2.75563800505134,1.46129693267781,0.000195920080806895,1.03350766467646,0.00461573586039459,0.427789268001347,0.725804412942483,"I"
"Map3k15",0.628667413043414,5.37155466684409,0.66252032480327,0.105307393282799,0.733690465117631,0.016015175271857,-0.0711701403143617,0.981500427083953,"I"
"Milr1",1.2741218222852,0.444857532346498,1.58685462916542,0.0624532335303866,1.68523330158424,0.00958963595735539,-0.0983786724188253,0.982860010514567,"I"
"Nmb",-0.260363578475684,1.68055760112978,1.71430776813559,0.015576928669389,0.663928967287465,0.588737269238156,1.05037880084812,0.336957425396025,"I"
"Npy",4.73224757459711,483.064602581376,1.96309306049913,3.63547779637587e-10,1.67353814528765,4.18513774034197e-10,0.289554915211483,0.85519179286465,"I"
"Oas1a",0.0532894168798097,0.0797959187448853,0.600167807170624,0.820029769456435,4.47585067958842,2.43191549047233e-07,-3.8756828724178,0.000233495558807488,"I"
"Rbp4",1.16078434142415,9.78521109455484,0.948408589153566,0.00502195521887471,0.657773736688293,0.0410850427895437,0.290634852465273,0.797050904575429,"I"
"Rsad2",1.16574145443619,1.46988202507973,0.709809585995168,0.508581669300519,2.35242722262006,8.82814487339756e-06,-1.64261763662489,0.0250968830269891,"I"
"Setdb2",-0.0823671007070374,6.04705544311446,0.637351952418914,0.0699127231067144,0.677174812283306,0.0107537729817959,-0.039822859864392,0.982860010514567,"I"
"Skap1",0.619391031863996,2.5348411175071,0.642495105227061,0.135986022256471,0.72147961960482,0.0210736643243114,-0.078984514377759,0.978198307794595,"I"
"Slc18a1",0.65070034997635,0.794737178706819,0.965694798617655,0.233842029695132,1.21678948058804,0.0391633155377142,-0.251094681970388,0.936664471019128,"I"
"Svs2",0,0,8.22904522170041,5.80349810295127e-07,6.57787490582243,3.67983183730763e-05,1.65117031587798,0.319338734724437,"I"
"Syce2",0.137240755871948,2.97384804873138,0.967247273202161,0.00640457981788679,0.649262888569954,0.0661297795214683,0.317984384632206,0.781391334626704,"I"
"Trim55",0.296992409332765,0.0276913108986556,3.16840284464415,0.228966478831285,4.21522077035946,0.0305039366355684,-1.04681792571531,0.893033531706238,"I"
"Atg7",2.8916276991362,245.823052540584,-1.76229555971063,5.80349810295127e-07,-0.58694891638278,0.263886246982795,-1.17534664332785,0.00196942033786471,"I'"
"Cartpt",3.60334566595742,513.115202681924,-1.3762707367208,0.00128865914498637,-1.5556405151076,2.62331531160573e-06,0.179369778386806,0.942697342977521,"I'"
"Glp1r",1.82817984652428,3.63134641176522,-1.3050871217471,0.0271481810858923,-0.677652039626468,0.361509956963229,-0.62743508212063,0.660353811716362,"I'"
"Igsf1",1.20481380597302,41.6770242552402,-0.847638337430528,0.0120314896745232,-0.611852273895358,0.057076931505989,-0.23578606353517,0.866268331700555,"I'"
"Npy1r",0.875842509455219,26.0210564294064,-0.687991040716199,0.0079172533578266,-0.814271521090876,1.83695575543834e-05,0.126280480374677,0.932405627841837,"I'"
"Npy2r",1.92925358344062,70.5111953819254,-1.59966134665709,2.48578765376485e-07,-0.636173757813645,0.0877760632688883,-0.963487588843442,0.00550167878813093,"I'"
"Npy5r",0.943764143419365,9.45561314147869,-0.68424162809606,0.126804984026194,-0.845045130733229,0.00681906692403872,0.160803502637168,0.934934367783829,"I'"
"Nts",2.44648775575131,129.290869777478,-1.25324700583249,0.00376879866686676,-1.3107533198799,8.9409062826023e-05,0.0575063140474063,0.982860010514567,"I'"
"Pomc",5.37156964248757,516.907709901881,-2.64293067164528,9.71952028506048e-32,-2.02352868483616,2.37569394984694e-24,-0.619401986809116,0.0687130434282777,"I'"
"Serpina3n",3.80906822091762,162.373019968079,-2.05054643819915,2.30930683509848e-12,-0.994164432365151,0.00045911407927614,-1.05638200583399,0.00133731553935263,"I'"
"Tmem176a",2.02134220206334,52.4732595075414,-1.37375064791152,9.9067059431326e-09,-0.777786811539893,0.00048778704113349,-0.595963836371628,0.0692355058783768,"I'"
"Tnfrsf11b",1.74143497990672,4.16979379296269,-1.7304379318418,2.00098410911791e-06,-0.770977704079404,0.0195570179538508,-0.959460227762398,0.0367265469869717,"I'"
"1500009L16Rik",0.520217319966857,42.3185270431568,0.65685480373856,3.3401873265941e-06,0.471094220427104,0.000201046438025727,0.185760583311455,0.651358808647719,"II"
"Arg2",-0.0625720115631286,2.70685778005905,0.936800513635779,0.010233219233355,0.46454990992892,0.361509956963229,0.472250603706859,0.489287981544033,"II"
"Brca2",0.472365741968716,29.524634968386,0.804830403374861,2.2570243471826e-05,0.35785810393124,0.124512239298456,0.446972299443621,0.0675864213463888,"II"
"Btg1",0.481469004240286,30.3552370012652,0.790588976218961,0.00258400303197294,0.449945032601202,0.118722539742813,0.34064394361776,0.565705656025212,"II"
"Btg2",0.545362477714193,15.8561129344631,0.644979500354064,0.0385991921589737,0.136348731019559,0.865852590246217,0.508630769334505,0.181552747506843,"II"
"Camk1g",1.34217402224628,86.3292443589698,0.600393673268856,0.0101191660774521,0.148957014464161,0.763402957247964,0.451436658804695,0.097362543588268,"II"
"Cks1b",0.527855216935537,2.77021726014567,1.0245896228679,0.0230945971767235,0.206548441608048,0.865852590246217,0.818041181259852,0.111484553694238,"II"
"Fam107b",-0.193835274470264,18.0962946077818,1.07006714117357,0.000184425136375889,0.286738521978268,0.619971751109186,0.783328619195302,0.0109216895904894,"II"
"Fkbp5",0.666716403054832,71.2549270016953,1.03786681462148,1.03093200963465e-16,0.528803606924163,7.76765038380591e-06,0.509063207697314,0.000233495558807488,"II"
"Gadl1",0.71424342507593,1.4500857320954,1.08288063873686,0.0433493950428002,0.0961516377357465,0.964414962412178,0.986729001001109,0.0763122337241904,"II"
"Gem",0.914167927407783,4.49934663826051,1.47449664885835,0.000270398596603318,0.224533880826023,0.847390669669349,1.24996276803233,0.00196942033786471,"II"
"Ghrh",3.55671436877686,24.7793483007834,1.4616109883265,4.30832272936475e-06,0.0401091058094868,0.985240310486761,1.42150188251702,3.04414815307569e-06,"II"
"Gm9843",0.750001443537127,2.85696614915265,0.812818698921329,0.0475073073838495,0.368551412869669,0.565434420274463,0.44426728605166,0.600079026022453,"II"
"Hs3st1",-0.202747688076018,13.3322291022071,0.74981928514491,0.0132215739519098,0.362758725752232,0.402014105729097,0.387060559392678,0.512937249359512,"II"
"Krtap17-1",1.43050355715899,0.937616545849175,1.49593827339521,0.00951143394879058,0.504107023868831,0.645882813747192,0.991831249526384,0.174763724782305,"II"
"N4bp2l1",0.816663016845396,106.413046386306,0.649738294433227,0.000175793706865385,0.455550384371572,0.00439081290937736,0.194187910061656,0.721890496527973,"II"
"Pcsk4",1.06455359023574,8.90225976971772,0.819272503743118,0.0230945971767235,0.288654033603802,0.67211655353622,0.530618470139316,0.333451116442068,"II"
"Rpl10",0.546382971197683,5.87062486816611,0.814363471209899,0.022835170492048,0.366369186960198,0.50233915886726,0.447994284249701,0.496472626523226,"II"
"Rpl34",0.765201333394114,80.9169373147125,0.67742334982251,0.0120943301851792,-0.00373228958970163,0.998559418697752,0.681155639412212,0.00784935873213315,"II"
"Rpl35",0.513917870135391,18.1182834804906,0.99019722938968,0.000665593665951147,0.36314653348956,0.446409589218005,0.62705069590012,0.0803736080100317,"II"
"Rpl35a",1.00297035019539,87.2257538105382,0.60420642457908,0.0336901663897539,0.415819810986577,0.16370763825258,0.188386613592503,0.866268331700555,"II"
"Rpl38",0.714438110543127,30.2046433614103,0.938472255864272,0.00397688983286019,0.270405858627442,0.677319832682326,0.668066397236829,0.0803736080100317,"II"
"Rplp2",1.04179968899892,139.038328797329,0.712039500474231,0.0180270464740181,0.217334571412304,0.714855367807507,0.494704929061927,0.224953177817337,"II"
"Rps12",0.415851616882203,7.10418208539012,0.767230738335015,0.0353110596608062,0.529114078611595,0.16370763825258,0.238116659723421,0.866268331700555,"II"
"Rps19",1.11243351502861,99.3684545792831,0.767239922952636,0.0120943301851792,0.221481311657768,0.724547221043864,0.545758611294868,0.164081226749012,"II"
"Rps27",0.98757015144621,4.47400822857397,0.796588784308797,0.0498940230609799,0.358372692425942,0.574515036343476,0.438216091882856,0.605596829816976,"II"
"Rps28",0.892627012659145,11.3438798078687,0.909641262682831,0.00640457981788679,0.378711639580677,0.468455874377613,0.530929623102154,0.298273130812899,"II"
"Rps7",0.859532330656034,44.4244128041027,0.67056787175894,0.00909400496057057,0.248584869981761,0.571096078404314,0.421983001777178,0.24988219346403,"II"
"Srxn1",0.265047929552916,226.224867617118,0.623174073684878,7.11776621319682e-05,0.311555832333779,0.0833451683860803,0.311618241351099,0.182668247071809,"II"
"Zar1",2.96668864965445,8.16792611721737,0.805993574224005,0.027247291646684,0.140920296291208,0.882786406381844,0.665073277932797,0.105555538448043,"II"
"Asb4",3.34288523457326,232.459349987192,-0.891090581475048,0.00363773134830148,-0.348393910609787,0.471583139842313,-0.542696670865261,0.198760895852674,"II'"
"Bmp3",0.808631969529679,5.98227547316177,-0.874803264213893,0.0415943401939495,-0.350268654219371,0.600140725478833,-0.524534609994522,0.496861695998383,"II'"
"Chodl",1.03197640876598,12.6434764823817,-0.796824867010522,0.016152546944286,-0.26060373800289,0.67211655353622,-0.536221129007632,0.24988219346403,"II'"
"Cngb1",1.80845942311721,23.9988317690533,-0.803613602151591,0.00432048118657265,-0.518924764410374,0.0598232563599944,-0.284688837741217,0.743076901389092,"II'"
"Crispld2",0.217264521540244,2.56358842864277,-0.769934516670492,0.172730828164077,0.411146580913261,0.553698761351508,-1.18108109758375,0.00491238797916332,"II'"
"Cstad",0.970925194177299,4.39029183239311,-0.888850652872181,0.0312606090961856,-0.490937580470531,0.309346137561128,-0.39791307240165,0.721890496527973,"II'"
"Egflam",1.53457957224722,7.65253878626226,-0.820257073135692,0.0120943301851792,-0.379567237752249,0.38934983342506,-0.440689835383443,0.473839295620008,"II'"
"Foxq1",1.36872406557983,1.90115835519318,-1.91915349333521,0.0174775761014932,0.564404615897739,0.675633499666002,-2.48355810923295,0.000233495558807488,"II'"
"Gbp5",0.70651492002699,2.07692057647933,-1.04357834392253,0.089403262531542,0.471360011879063,0.540710402091305,-1.51493835580159,0.00116687753470566,"II'"
"Hcn3",0.657460063646967,28.0606698669859,-0.71338016043667,0.00631706368139481,-0.524309241195794,0.0255238134038509,-0.189070919240876,0.862912505099076,"II'"
"Hspa12b",0.741922245998767,10.5753945731145,-0.739624806877956,0.0200645487063272,-0.0964505837511294,0.927217755948527,-0.643174223126827,0.0587478958308225,"II'"
"Irs4",2.56309786384223,390.826815988677,-0.820848680331301,0.0120943301851792,-0.291395920153628,0.619171698885842,-0.529452760177673,0.261936012642134,"II'"
"Itm2a",1.12140624890047,25.6791791909917,-1.30890262212384,0.00121835454397613,-0.329435213304045,0.696260672970403,-0.979467408819794,0.0268434048052803,"II'"
"Katnal2",0.702862980419464,9.6826957221974,-0.818631036569377,0.00816270303735071,-0.243029243996094,0.675633499666002,-0.575601792573283,0.134357392534398,"II'"
"Pdia4",0.621550331962924,29.972180117063,-0.712564498379397,0.00609827662329326,-0.563735414500453,0.0118695502476345,-0.148829083878944,0.918784150371652,"II'"
"Plagl1",1.60328020710009,198.023089497789,-0.941245753269513,0.000452596360862206,-0.216364372648715,0.716501620453907,-0.724881380620798,0.0107508581188606,"II'"
"Serpina3i",4.31260481190832,1.51759199314194,-1.70879270656997,0.0287504309257454,0.374697793853857,0.777695770947113,-2.08349050042382,0.00175144670754449,"II'"
"Sgsh",0.800449019360769,11.6653063708203,-0.711256648008549,0.0235828904063598,-0.45521812047234,0.165277424713817,-0.256038527536209,0.798163181866368,"II'"
"Socs3",1.46512550861426,5.95962662197241,-1.82959316077138,1.15321926778346e-06,-0.0643822260429658,0.971224271554359,-1.76521093472841,8.54288398666143e-07,"II'"
"Stat3",1.45651547188398,164.586988475314,-1.00726714876157,1.24177050287763e-06,-0.229927956695496,0.589673882288762,-0.777339192066073,0.000249503583717914,"II'"
"Tac1",2.23287937490814,313.183961466845,-0.881665205668372,0.0181428595439808,-0.212164756088707,0.783747102231123,-0.669500449579665,0.141078038187118,"II'"
"Tgfbi",0.18990608325828,4.12421971837376,-0.91622422338436,0.0038435467540616,0.531248468835128,0.0410850427895437,-1.44747269221949,6.47411916868998e-09,"II'"
"Tmem176b",1.54499768608418,63.1441481630159,-0.954205473805668,3.78489958378656e-05,-0.548522472263874,0.0177956313729364,-0.405683001541795,0.335456273715049,"II'"
"Traf3ip3",0.975332709023213,1.81580640357409,-2.44772586287673,1.94320863548344e-05,0.0489976630716559,0.985240310486761,-2.49672352594838,3.17969832133477e-06,"II'"
"Trpc6",1.37266156771214,7.94834200758549,-1.03891856360231,0.010233219233355,-0.497134964652636,0.359403205566392,-0.541783598949672,0.488304787147175,"II'"
"Vwa5a",1.2250148054623,31.9413971922135,-1.0694969622631,0.0060782101343409,0.0124650075887492,0.995452745832811,-1.08196196985185,0.00258108769665721,"II'"
"Yeats2",2.5263597998607,259.761602359597,-1.08372762359332,5.07640208503475e-06,-0.384225253863888,0.275963630617772,-0.69950236972943,0.00883698089680761,"II'"
"Apol10b",1.5663494072434,0.17321780698007,-0.0267671211231376,0.990292776339254,3.61783552226879,1.27038292092777e-05,-3.64460264339193,0.000572885608712007,"III"
"Apol6",-0.0324550654123395,0.816914545768329,0.438455113613627,0.678325889846232,2.36295232846965,2.61459597016026e-08,-1.92449721485602,0.000247925450030303,"III"
"Apol9a",1.19657067922281,0.223986103034337,0.404002556542385,0.850912103104684,3.0163618947807,0.000165389681142327,-2.61235933823832,0.0115220757837203,"III"
"Apol9b",1.38699021097202,0.0770599913448396,-0.271103988757287,0.934583164345707,4.76191387896012,1.93909457189106e-08,-5.03301786771741,3.21837585618717e-05,"III"
"B2m",0.858215217420594,46.4059818456369,-0.574389309958497,0.257960338572316,2.70586804534498,1.40555143559851e-25,-3.28025735530348,9.43927791359607e-30,"III"
